name,url,country,type
El Comercio,https://elcomercio.pe/,Peru,newspaper
La República,https://larepublica.pe/,Peru,newspaper
Gestión,https://gestion.pe/,Peru,newspaper
Expreso,https://www.expreso.com.pe/,Peru,newspaper
Perú21,https://peru21.pe/,Peru,newspaper
Trome,https://trome.pe/,Peru,newspaper
Diario Correo,https://diariocorreo.pe/,Peru,newspaper
El Popular,https://elpopular.pe/,Peru,newspaper
El Bocón,https://elbocon.pe/,Peru,newspaper
La Industria,https://laindustria.pe/,Peru,newspaper
Diario Ojo,https://ojo.pe/,Peru,newspaper
El Peruano,http://www.elperuano.pe/,Peru,newspaper
La Razón,https://larazon.pe/,Peru,newspaper
El Chino,http://diarioelchino.pe/,Peru,newspaper
El Men,https://www.elmen.pe/,Peru,newspaper
Los Andes,https://www.losandes.com.pe/,Peru,newspaper
Diario UNO,https://diariouno.pe/,Peru,newspaper
El Tiempo,https://eltiempo.pe/,Peru,newspaper
La Primera,https://www.diariolaprimeraperu.com/,Peru,newspaper
El Pueblo,https://www.elpueblo.com.pe/,Peru,newspaper
