name,url,country
Infobae,https://www.infobae.com/,Argentina
La Nación,https://www.lanacion.com.ar/,Argentina
Clarín,https://www.clarin.com/,Argentina
Diario Uno,https://www.diariouno.com.ar/,Argentina
El Tiempo,https://www.eltiempo.com/,Colombia
El Heraldo,https://www.elheraldo.co/,Colombia
El Universal,https://www.eluniversal.com.co/,Colombia
El Colombiano,https://www.elcolombiano.com/,Colombia
El Deber,https://eldeber.com.bo/,Bolivia
Página Siete,https://www.paginasiete.bo/,Bolivia
Los Tiempos,https://www.lostiempos.com/,Bolivia
El País,https://www.elpais.com.uy/,Uruguay
Montevideo Portal,https://www.montevideo.com.uy/,Uruguay
El Observador,https://www.elobservador.com.uy/,Uruguay
La República,https://www.republica.com.uy/,Uruguay
El Salvador,https://www.elsalvador.com/,El Salvador
La Prensa Gráfica,https://www.laprensagrafica.com/,El Salvador
ContraPunto,https://www.contrapunto.com.sv/,El Salvador
El Faro,https://elfaro.net/,El Salvador

