name,url,country,type
El Nacional,http://www.el-nacional.com/,Venezuela,newspaper
El Universal,http://www.eluniversal.com/,Venezuela,newspaper
Últimas Noticias,http://www.ultimasnoticias.com.ve/,Venezuela,newspaper
El Carabobeño,http://www.el-carabobeno.com/,Venezuela,newspaper
Panorama,http://www.panorama.com.ve/,Venezuela,newspaper
El Mundo,https://www.elmundo.com.ve/,Venezuela,newspaper
El Tiempo,http://www.eltiempo.com.ve/,Venezuela,newspaper
Tal Cual,http://www.talcualdigital.com/,Venezuela,newspaper
El Impulso,https://www.elimpulso.com/,Venezuela,newspaper
Notitarde,https://www.notitarde.com/,Venezuela,newspaper
La Verdad,https://www.laverdad.com/,Venezuela,newspaper
El Aragüeño,https://www.elaragueno.com.ve/,Venezuela,newspaper
Correo del Caroní,http://www.correodelcaroni.com/,Venezuela,newspaper
La Nación,https://lanacionweb.com/,Venezuela,newspaper
Noticia al Día,https://noticialdia.com/,Venezuela,newspaper
Diario 2001,http://www.2001.com.ve/,Venezuela,newspaper
El Informador,https://www.elinformador.com.ve/,Venezuela,newspaper
La Voz,http://www.diariolavoz.net/,Venezuela,newspaper
El Periodiquito,http://elperiodiquito.com/,Venezuela,newspaper
Diario La Costa,https://diariolacosta.com/,Venezuela,newspaper
