name,url,country,type
El Heraldo,https://www.elheraldo.hn/,Honduras,newspaper
La Prensa,https://www.laprensa.hn/,Honduras,newspaper
La Tribuna,https://www.latribuna.hn/,Honduras,newspaper
El Progreso,https://www.elprogreso.com/,Honduras,newspaper
Tiempo,https://tiempo.hn/,Honduras,newspaper
Hondudiario,https://hondudiario.com/,Honduras,newspaper
El País,https://www.elpais.hn/,Honduras,newspaper
Proceso Digital,https://proceso.hn/,Honduras,newspaper
Radio América,https://www.radioamerica.hn/,Honduras,newspaper
Honduras News,https://www.hondurasnews.com/,Honduras,newspaper
El Libertador,http://www.ellibertador.hn/,Honduras,newspaper
Frente a Frente,https://www.frenteafrontera.com/,Honduras,newspaper
El Patio,https://www.elpatiohn.com/,Honduras,newspaper
Criterio,https://criterio.hn/,Honduras,newspaper
Revistazo,https://www.revistazo.biz/,Honduras,newspaper
HRN,https://www.hrn.hn/,Honduras,newspaper
Prensa Libre,https://prensalibre.com/,Guatemala,newspaper
El Periódico,https://elperiodico.com.gt/,Guatemala,newspaper
Siglo 21,https://www.s21.gt/,Guatemala,newspaper
Nuestro Diario,https://www.nuestrodiario.com/,Guatemala,newspaper
