name,url,country,type
El Periódico USA,https://elperiodicousa.com/,United States (Spanish),newspaper
Actualidad Radio,https://actualidadradio.com/,United States (Spanish),newspaper
La Raza del Noroeste,https://larazanw.com/,United States (Spanish),newspaper
La Gaceta Hispana,https://lagacetahispana.com/,United States (Spanish),newspaper
La Voz de Arizona,http://www.lavozarizona.com/,United States (Spanish),newspaper
El Comentario,https://www.elcomentario.ucol.mx/,Mexico,newspaper
Diario de Querétaro,https://www.diariodequeretaro.com.mx/,Mexico,newspaper
El Sol de Toluca,https://www.elsoldetoluca.com.mx/,Mexico,newspaper
Milenio Novedades,https://www.yucatan.com.mx/,Mexico,newspaper
Novedades Acapulco,https://novedadesaca.mx/,Mexico,newspaper
Diario de Yucatán,https://www.yucatan.com.mx/,Mexico,newspaper
La Voz de la Frontera,https://www.lavozdelafrontera.com.mx/,Mexico,newspaper
El Mañana de Nuevo Laredo,https://www.elmanana.com/,Mexico,newspaper
Diario de Colima,https://www.diariodecolima.com/,Mexico,newspaper
Cuarto Poder,https://www.cuartopoder.mx/,Mexico,newspaper
Noroeste,https://www.noroeste.com.mx/,Mexico,newspaper
El Sol de Zacatecas,https://www.elsoldezacatecas.com.mx/,Mexico,newspaper
El Sudcaliforniano,https://www.elsudcaliforniano.com.mx/,Mexico,newspaper
El Vigía,https://www.elvigia.net/,Mexico,newspaper
El Sol de Tijuana,https://www.elsoldetijuana.com.mx/,Mexico,newspaper
