name,url,country,type
El Mundo,https://www.elmundo.es/,Spain,newspaper
El País,https://elpais.com/,Spain,newspaper
La Vanguardia,https://www.lavanguardia.com/,Spain,newspaper
ABC,https://www.abc.es/,Spain,newspaper
El Confidencial,https://www.elconfidencial.com/,Spain,newspaper
La Razón,https://www.larazon.es/,Spain,newspaper
20 Minutos,https://www.20minutos.es/,Spain,newspaper
El Periódico,https://www.elperiodico.com/,Spain,newspaper
Diario AS,https://as.com/,Spain,newspaper
Marca,https://www.marca.com/,Spain,newspaper
El Correo,https://www.elcorreo.com/,Spain,newspaper
El Diario Vasco,https://www.diariovasco.com/,Spain,newspaper
La Voz de Galicia,https://www.lavozdegalicia.es/,Spain,newspaper
La Nueva España,https://www.lne.es/,Spain,newspaper
Diario de Sevilla,https://www.diariodesevilla.es/,Spain,newspaper
El Norte de Castilla,https://www.elnortedecastilla.es/,Spain,newspaper
Faro de Vigo,https://www.farodevigo.es/,Spain,newspaper
Heraldo,https://www.heraldo.es/,Spain,newspaper
Diario de Navarra,https://www.diariodenavarra.es/,Spain,newspaper
Diario Sur,https://www.diariosur.es/,Spain,newspaper
La Gaceta,https://www.lagacetadesalamanca.es/,Spain,newspaper
