name,url,country,type
El Mundo,https://www.elmundo.es/,Spain,newspaper
El País,https://elpais.com/,Spain,newspaper
La Vanguardia,https://www.lavanguardia.com/,Spain,newspaper
ABC,https://www.abc.es/,Spain,newspaper
El Confidencial,https://www.elconfidencial.com/,Spain,newspaper
20 Minutos,https://www.20minutos.es/,Spain,newspaper
El Periódico,https://www.elperiodico.com/es/,Spain,newspaper
La Razón,https://www.larazon.es/,Spain,newspaper
La Voz de Galicia,https://www.lavozdegalicia.es/,Spain,newspaper
El Diario,https://www.eldiario.es/,Spain,newspaper
El Correo,https://www.elcorreo.com/,Spain,newspaper
Diario de Sevilla,https://www.diariodesevilla.es/,Spain,newspaper
La Nueva España,https://www.lne.es/,Spain,newspaper
Heraldo de Aragón,https://www.heraldo.es/,Spain,newspaper
Levante-EMV,https://www.levante-emv.com/,Spain,newspaper
Diario de Mallorca,https://www.diariodemallorca.es/,Spain,newspaper
Diario de Navarra,https://www.diariodenavarra.es/,Spain,newspaper
El Norte de Castilla,https://www.elnortedecastilla.es/,Spain,newspaper
El Comercio,https://www.elcomercio.es/,Spain,newspaper
La Verdad,https://www.laverdad.es/,Spain,newspaper
