name,url,country
El Observador,https://www.elobservador.com.uy/,Uruguay
La Diaria,https://ladiaria.com.uy/,Uruguay
El Heraldo,https://www.elheraldo.hn/,Honduras
El 19 Digital,https://www.el19digital.com/,Nicaragua
El Nuevo Diario,https://www.elnuevodiario.com.ni/,Nicaragua
La Prensa,https://www.laprensa.com.ni/,Nicaragua
La Estrella de Panamá,https://www.laestrella.com.pa/,Panama
TVN Noticias,https://www.tvn-2.com/,Panama
La Prensa,https://www.prensa.com/,Panama
Huffington Post Mexico,https://www.huffingtonpost.com.mx/,Mexico
El Financiero,https://www.elfinanciero.com.mx/,Mexico
Quién,https://www.quien.com/,Mexico
Motorpasión,https://www.motorpasion.com.mx/,Mexico
Alto Nivel,https://www.altonivel.com.mx/,Mexico
Taringa!,https://www.taringa.net/,Argentina
TN Tecno,https://tn.com.ar/tecnologia/,Argentina
Rock & Pop,https://www.rockandpop.com.ar/,Argentina
La Capital,https://www.lacapital.com.ar/,Argentina
Noticias Caracol,https://noticias.caracoltv.com/,Colombia

