name,url,country,type
Canarias7,https://www.canarias7.es/,Spain,newspaper
El Día de Córdoba,https://www.eldiadecordoba.es/,Spain,newspaper
La Voz de Cádiz,https://www.lavozdigital.es/,Spain,newspaper
La Opinión de Zamora,https://www.laopiniondezamora.es/,Spain,newspaper
La Nueva Crónica,https://www.lanuevacronica.com/,Spain,newspaper
Mallorca Zeitung,https://www.mallorcazeitung.es/,Spain,newspaper
El Faro de Ceuta,https://elfarodeceuta.es/,Spain,newspaper
Diario de Arousa,https://www.diariodearousa.com/,Spain,newspaper
Regió7,https://www.regio7.cat/,Spain,newspaper
El Periódico de Aragón,https://www.elperiodicodearagon.com/,Spain,newspaper
Viva Huelva,https://www.vivahuelva.es/,Spain,newspaper
El Periódico Extremadura,https://www.elperiodicoextremadura.com/,Spain,newspaper
El Diario Montañés,https://www.eldiariomontanes.es/,Spain,newspaper
Diario de León,https://www.diariodeleon.es/,Spain,newspaper
Gara,https://www.naiz.eus/es/ediciones/gara,Spain,newspaper
Berria,https://www.berria.eus/,Spain,newspaper
Ara,https://www.ara.cat/,Spain,newspaper
Última Hora,https://www.ultimahora.es/,Spain,newspaper
Diari de Girona,https://www.diaridegirona.cat/,Spain,newspaper
Diari de Tarragona,https://www.diaridetarragona.com/,Spain,newspaper

