name,url,country
La Nación,https://www.lanacion.com.py/,Paraguay
Última Hora,https://www.ultimahora.com/,Paraguay
ABC Color,https://www.abc.com.py/,Paraguay
El Comercio,https://www.elcomercio.com/,Ecuador
El Universo,https://www.eluniverso.com/,Ecuador
El Telégrafo,https://www.eltelegrafo.com.ec/,Ecuador
El Nuevo Diario,https://www.elnuevodiario.com.do/,República Dominicana
Listín Diario,https://www.listindiario.com/,República Dominicana
Diario Libre,https://www.diariolibre.com/,República Dominicana
El Nuevo Herald,https://www.elnuevoherald.com/,Estados Unidos
La Opinión,https://laopinion.com/,Estados Unidos
El Diario NY,https://eldiariony.com/,Estados Unidos
Noticiero Digital,https://www.noticierodigital.com/,Venezuela
La Patilla,https://www.lapatilla.com/,Venezuela
El Nacional,https://www.elnacional.com/,Venezuela

