name,url,country,type
Europa Sur,https://www.europasur.es/,Spain,newspaper
Diario del AltoAragón,https://www.diariodelaltoaragon.es/,Spain,newspaper
La Opinión de Tenerife,https://www.laopinion.es/,Spain,newspaper
Córdoba,https://www.cordobahoy.es/,Spain,newspaper
El Diario de Soria,https://www.eldiasoria.es/,Spain,newspaper
El Diari,https://www.eldiari.com/,Spain,newspaper
Diario de Almería,https://www.diariodealmeria.es/,Spain,newspaper
La Voz de Almería,https://www.lavozdealmeria.com/,Spain,newspaper
Diario de Teruel,https://www.diariodeteruel.es/,Spain,newspaper
Granada Hoy,https://www.granadahoy.com/,Spain,newspaper
Huelva Información,https://www.huelvainformacion.es/,Spain,newspaper
Diario de Jerez,https://www.diariodejerez.es/,Spain,newspaper
Málaga Hoy,https://www.malagahoy.es/,Spain,newspaper
La Mañana,https://www.lamanyana.cat/,Spain,newspaper
Diario de Mallorca,https://www.diariodemallorca.es/,Spain,newspaper
Menorca,https://www.menorca.info/,Spain,newspaper
El Progreso,https://www.elprogreso.es/,Spain,newspaper
La Región,https://www.laregion.es/,Spain,newspaper
Diario de Sevilla,https://www.diariodesevilla.es/,Spain,newspaper
El Periódico Mediterráneo,https://www.elperiodicomediterraneo.com/,Spain,newspaper

