name,url,country
Xataka,https://www.xataka.com/,Spain
El País - Tecnología,https://elpais.com/tecnologia/,Spain
Hipertextual,https://hipertextual.com/,Spain
Genbeta,https://www.genbeta.com/,Spain
El Blog Salmón,https://www.elblogsalmon.com/,Spain
SDP Noticias,https://www.sdpnoticias.com/,Mexico
El Universal - Tecnología,https://www.eluniversal.com.mx/tech,Mexico
Milenio - Tecnología,https://www.milenio.com/tecnologia,Mexico
Vanguardia,https://www.vanguardia.com.mx/,Mexico
Cultura Colectiva,https://culturacolectiva.com/,Mexico
La Nación - Tecnología,https://www.lanacion.com.ar/tecnologia,Argentina
Clarín - Tecnología,https://www.clarin.com/tecnologia.html,Argentina
Infobae,https://www.infobae.com/,Argentina
Página/12,https://www.pagina12.com.ar/,Argentina
VICE Argentina,https://www.vice.com/es_latam/topic/argentina,Argentina
El Tiempo - Tecnología,https://www.eltiempo.com/tecnosfera,Colombia
Semana - Tecnología,https://www.semana.com/tecnologia,Colombia
Portafolio,https://www.portafolio.co/,Colombia
El Espectador,https://www.elespectador.com/,Colombia
El Colombiano,https://www.elcolombiano.com/,Colombia
