name,url,country,type
Clarín,https://www.clarin.com/,Argentina,newspaper
La Nación,https://www.lanacion.com.ar/,Argentina,newspaper
Página/12,https://www.pagina12.com.ar/,Argentina,newspaper
Infobae,https://www.infobae.com/,Argentina,newspaper
Ámbito,https://www.ambito.com/,Argentina,newspaper
Perfil,https://www.perfil.com/,Argentina,newspaper
Olé,https://www.ole.com.ar/,Argentina,newspaper
La Voz,https://www.lavoz.com.ar/,Argentina,newspaper
El Cronista,https://www.cronista.com/,Argentina,newspaper
El Día,https://www.eldia.com/,Argentina,newspaper
La Gaceta,https://www.lagaceta.com.ar/,Argentina,newspaper
La Capital,https://www.lacapital.com.ar/,Argentina,newspaper
Los Andes,https://www.losandes.com.ar/,Argentina,newspaper
Diario Popular,https://www.diariopopular.com.ar/,Argentina,newspaper
El Litoral,https://www.ellitoral.com/,Argentina,newspaper
El Ciudadano,https://www.elciudadanoweb.com/,Argentina,newspaper
El Tribuno,https://www.eltribuno.com/,Argentina,newspaper
Diario Uno,https://www.diariouno.com.ar/,Argentina,newspaper
El Ancasti,https://www.elancasti.com.ar/,Argentina,newspaper
El Chubut,https://www.elchubut.com.ar/,Argentina,newspaper
