name,url,country
La Jornada,https://www.jornada.com.mx/,Mexico
Sopitas,https://www.sopitas.com/,Mexico
Chilango,https://www.chilango.com/,Mexico
El Economista,https://www.eleconomista.com.mx/,Mexico
Publimetro,https://www.publimetro.com.mx/,Mexico
Hipertextual,https://hipertextual.com/,Mexico
El Blog de Enrique Dans,https://www.enriquedans.com/,Spain
La Vanguardia,https://www.lavanguardia.com/,Spain
El Confidencial,https://www.elconfidencial.com/,Spain
La Sexta,https://www.lasexta.com/,Spain
Código Espagueti,https://codigoespagueti.com/,Mexico
CNET en Español,https://es.cnet.com/,Mexico
Gizmodo en Español,https://es.gizmodo.com/,Spain
El Diario,https://www.eldiario.es/,Spain
El Español,https://www.elespanol.com/,Spain
La Voz de Galicia,https://www.lavozdegalicia.es/,Spain
CNN en Español,https://cnnespanol.cnn.com/,United States
BBC Mundo,https://www.bbc.com/mundo,United Kingdom
El País,https://www.elpais.com/,Spain
El Huffington Post,https://www.huffingtonpost.es/,Spain

